Placa;Quantidade;Valor (R$);Valor com Desconto (R$);Situação
RCJ0F53;0;0,00;0.00;Vencidas
RCJ0F53;0;0,00;0,00;Não Vencida
RCJ0F53;0;0,00;0.00;Sob Judice
RCJ0F53;0;0,00;0.00;Parcelada
RCJ0F53;1;130,16;104,13;Notificada
RCJ0F53;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCJ0F83;0;0,00;0.00;Vencidas
RCJ0F83;0;0,00;0,00;Não Vencida
RCJ0F83;0;0,00;0.00;Sob Judice
RCJ0F83;0;0,00;0.00;Parcelada
RCJ0F83;3;585,69;468,54;Notificada
RCJ0F83;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
QTR1051;0;0,00;0.00;Vencidas
QTR1051;0;0,00;0,00;Não Vencida
QTR1051;0;0,00;0.00;Sob Judice
QTR1051;0;0,00;0.00;Parcelada
QTR1051;1;130,16;104,13;Notificada
QTR1051;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
QTR1091;1;130,16;0.00;Vencidas
QTR1091;0;0,00;0,00;Não Vencida
QTR1091;0;0,00;0.00;Sob Judice
QTR1091;0;0,00;0.00;Parcelada
QTR1091;0;0,00;0,00;Notificada
QTR1091;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
QTR1121;1;138,38;0.00;Vencidas
QTR1121;0;0,00;0,00;Não Vencida
QTR1121;0;0,00;0.00;Sob Judice
QTR1121;0;0,00;0.00;Parcelada
QTR1121;0;0,00;0,00;Notificada
QTR1121;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
QTR1141;1;199,40;0.00;Vencidas
QTR1141;0;0,00;0,00;Não Vencida
QTR1141;0;0,00;0.00;Sob Judice
QTR1141;0;0,00;0.00;Parcelada
QTR1141;0;0,00;0,00;Notificada
QTR1141;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
QTR1161;1;134,33;0.00;Vencidas
QTR1161;0;0,00;0,00;Não Vencida
QTR1161;0;0,00;0.00;Sob Judice
QTR1161;0;0,00;0.00;Parcelada
QTR1161;0;0,00;0,00;Notificada
QTR1161;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
PRR1611;1;130,16;0.00;Vencidas
PRR1611;0;0,00;0,00;Não Vencida
PRR1611;0;0,00;0.00;Sob Judice
PRR1611;0;0,00;0.00;Parcelada
PRR1611;1;293,47;234,78;Notificada
PRR1611;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
PRW1761;2;220,43;0.00;Vencidas
PRW1761;1;130,16;104,13;Não Vencida
PRW1761;0;0,00;0.00;Sob Judice
PRW1761;0;0,00;0.00;Parcelada
PRW1761;2;325,39;260,31;Notificada
PRW1761;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCA1D25;1;130,16;0.00;Vencidas
RCA1D25;0;0,00;0,00;Não Vencida
RCA1D25;0;0,00;0.00;Sob Judice
RCA1D25;0;0,00;0.00;Parcelada
RCA1D25;1;130,16;104,13;Notificada
RCA1D25;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCA1D95;0;0,00;0.00;Vencidas
RCA1D95;0;0,00;0,00;Não Vencida
RCA1D95;0;0,00;0.00;Sob Judice
RCA1D95;0;0,00;0.00;Parcelada
RCA1D95;2;325,39;260,31;Notificada
RCA1D95;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCE1H67;0;0,00;0.00;Vencidas
RCE1H67;2;260,32;208,26;Não Vencida
RCE1H67;0;0,00;0.00;Sob Judice
RCE1H67;0;0,00;0.00;Parcelada
RCE1H67;0;0,00;0,00;Notificada
RCE1H67;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCE1J27;0;0,00;0.00;Vencidas
RCE1J27;1;130,16;104,13;Não Vencida
RCE1J27;0;0,00;0.00;Sob Judice
RCE1J27;0;0,00;0.00;Parcelada
RCE1J27;4;911,10;728,88;Notificada
RCE1J27;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBX2C12;0;0,00;0.00;Vencidas
RBX2C12;0;0,00;0,00;Não Vencida
RBX2C12;0;0,00;0.00;Sob Judice
RBX2C12;0;0,00;0.00;Parcelada
RBX2C12;2;390,48;312,39;Notificada
RBX2C12;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBX2D12;1;130,16;0.00;Vencidas
RBX2D12;0;0,00;0,00;Não Vencida
RBX2D12;0;0,00;0.00;Sob Judice
RBX2D12;0;0,00;0.00;Parcelada
RBX2D12;0;0,00;0,00;Notificada
RBX2D12;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBX2D62;1;195,23;0.00;Vencidas
RBX2D62;1;130,16;104,13;Não Vencida
RBX2D62;0;0,00;0.00;Sob Judice
RBX2D62;0;0,00;0.00;Parcelada
RBX2D62;0;0,00;0,00;Notificada
RBX2D62;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBX2D82;0;0,00;0.00;Vencidas
RBX2D82;0;0,00;0,00;Não Vencida
RBX2D82;0;0,00;0.00;Sob Judice
RBX2D82;0;0,00;0.00;Parcelada
RBX2D82;1;130,16;104,13;Notificada
RBX2D82;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBM4048;1;130,16;0.00;Vencidas
RBM4048;0;0,00;0,00;Não Vencida
RBM4048;0;0,00;0.00;Sob Judice
RBM4048;0;0,00;0.00;Parcelada
RBM4048;0;0,00;0,00;Notificada
RBM4048;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBM4108;2;423,63;0.00;Vencidas
RBM4108;0;0,00;0,00;Não Vencida
RBM4108;0;0,00;0.00;Sob Judice
RBM4108;0;0,00;0.00;Parcelada
RBM4108;0;0,00;0,00;Notificada
RBM4108;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCM6B42;1;134,33;0.00;Vencidas
RCM6B42;0;0,00;0,00;Não Vencida
RCM6B42;0;0,00;0.00;Sob Judice
RCM6B42;0;0,00;0.00;Parcelada
RCM6B42;0;0,00;0,00;Notificada
RCM6B42;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCM6C82;1;132,94;0.00;Vencidas
RCM6C82;0;0,00;0,00;Não Vencida
RCM6C82;0;0,00;0.00;Sob Judice
RCM6C82;0;0,00;0.00;Parcelada
RCM6C82;0;0,00;0,00;Notificada
RCM6C82;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
QTR7027;1;132,94;0.00;Vencidas
QTR7027;0;0,00;0,00;Não Vencida
QTR7027;0;0,00;0.00;Sob Judice
QTR7027;0;0,00;0.00;Parcelada
QTR7027;3;390,48;312,39;Notificada
QTR7027;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
PRN9415;0;0,00;0.00;Vencidas
PRN9415;1;130,16;104,13;Não Vencida
PRN9415;0;0,00;0.00;Sob Judice
PRN9415;0;0,00;0.00;Parcelada
PRN9415;0;0,00;0,00;Notificada
PRN9415;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
PRU9528;0;0,00;0.00;Vencidas
PRU9528;0;0,00;0,00;Não Vencida
PRU9528;0;0,00;0.00;Sob Judice
PRU9528;0;0,00;0.00;Parcelada
PRU9528;4;650,78;520,62;Notificada
PRU9528;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
PRN9315;2;265,88;0.00;Vencidas
PRN9315;0;0,00;0,00;Não Vencida
PRN9315;0;0,00;0.00;Sob Judice
PRN9315;0;0,00;0.00;Parcelada
PRN9315;0;0,00;0,00;Notificada
PRN9315;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RBX2C52;0;0,00;0.00;Vencidas
RBX2C52;1;130,16;104,13;Não Vencida
RBX2C52;0;0,00;0.00;Sob Judice
RBX2C52;0;0,00;0.00;Parcelada
RBX2C52;0;0,00;0,00;Notificada
RBX2C52;0;0,00;0.00;SNE - Sistema de Notificação Eletrônica
RCE1I27;0;0,00;0.00;Vencidas
RCE1I27;0;0,00;0,00;Não Vencida
RCE1I27;0;0,00;0.00;Sob Judice
